FOTOMETR�A ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 13.744
   C2: 13.729
   C3: 13.58

V494 MON�                           13.686
FECHA J HELIO         MAG      +/-         MAG      +/-
2459233.61838      11.697    0.007      13.742    0.019
2459233.61912      11.686    0.007      13.705    0.019
2459233.61987      11.690    0.007      13.742    0.019
2459233.62061      11.681    0.007      13.711    0.019
2459233.62136      11.677    0.007      13.686    0.018
2459233.62211      11.683    0.007      13.800    0.019
2459233.62286      11.658    0.007      13.709    0.019
2459233.62360      11.641    0.007      13.720    0.019
2459233.62435      11.652    0.007      13.681    0.018
2459233.62509      11.631    0.007      13.697    0.019
2459233.62584      11.648    0.007      13.677    0.018
2459233.62658      11.626    0.007      13.713    0.019

Observador: Nestor Suarez-Observatorio Antares
FotoDif 3.109
